N,P,K,temperature,humidity,ph,rainfall,label
86,74,61,34.11,55.99,4.62,99.16,Rice
88,93,65,33.16,55.39,4.87,89.29,Rice
90,87,66,33.46,54.89,4.41,104.35,Rice
81,89,51,31.86,58.28,5.19,94.62,Rice
83,85,61,31.1,55.83,4.88,90.94,Rice
88,78,48,33.73,55.38,4.76,107.7,Rice
76,85,65,33.1,57.9,4.77,90.57,Rice
78,82,61,31.47,49.66,4.52,98.39,Rice
91,85,68,31.14,57.02,4.43,94.49,Rice
77,78,60,31.98,50.47,4.79,97.62,Rice
87,76,65,34.71,56.39,4.79,98.25,Rice
90,88,60,32.3,53.21,4.84,109.05,Rice
76,78,53,32.1,55.98,4.92,93.67,Rice
80,78,65,34.49,51.13,4.66,96.51,Rice
93,91,54,31.66,56.36,4.92,97.24,Rice
75,89,60,34.18,52.65,5.05,93.28,Rice
93,89,48,31.15,56.22,5.21,107.77,Rice
91,89,55,32.15,57.57,4.71,92.37,Rice
78,90,51,32.61,53.04,4.75,102.21,Rice
85,81,68,34.35,49.38,5.26,103.51,Rice
75,81,49,31.75,55.71,4.62,104.91,Rice
91,78,68,31.81,52.66,4.62,98.3,Rice
75,83,57,33.59,56.94,5.2,98.66,Rice
81,78,60,31.58,51.93,5.06,108.5,Rice
83,80,64,31.98,53.46,4.94,101.16,Rice
92,92,51,34.43,55.55,5.16,99.76,Rice
74,90,68,31.11,55.73,4.94,91.92,Rice
73,78,66,32.45,52.58,4.79,105.53,Rice
82,86,58,31.33,55.91,4.43,94.65,Rice
89,85,53,31.58,51.96,4.62,92.54,Rice
87,88,62,32.16,57.99,4.46,96.75,Rice
74,89,67,31.33,56.26,4.61,101.1,Rice
93,90,57,31.9,50.99,5.08,99.81,Rice
92,88,57,33.76,50.63,5.27,96.05,Rice
78,82,58,31.6,53.68,4.9,93.09,Rice
80,81,61,34.52,55.59,4.98,103.94,Rice
73,84,48,31.02,55.91,4.58,102.86,Rice
82,82,59,34.61,55.26,5.38,100.98,Rice
86,74,63,31.4,56.14,4.83,100.26,Rice
84,76,53,34.25,52.04,4.78,97.18,Rice
78,92,55,32.28,56.1,5.23,93.12,Rice
79,76,64,34.73,50.03,5.28,99.07,Rice
88,87,51,34.47,48.67,4.64,108.02,Rice
83,83,64,31.13,53.33,4.88,101.24,Rice
80,89,60,34.56,56.02,5.38,106.46,Rice
90,79,57,34.66,53.45,4.84,108.54,Rice
74,74,53,31.94,49.91,4.73,93.64,Rice
79,86,65,32.25,56.67,4.69,99.64,Rice
