temperature,humidity,moisture,soil_type,crop_type,N,P,K,fertilizer
38,64,43,Loamy,Paddy,19,37,4,DAP
36,69,54,Clayey,Ground Nuts,39,6,2,Urea
29,60,58,Black,Sugarcane,29,29,4,28-28
30,67,30,Loamy,Tobacco,11,24,28,10-26-26
36,59,49,Black,Oil seeds,28,28,0,28-28
29,50,29,Black,Ground Nuts,29,28,0,28-28
34,52,44,Clayey,Oil seeds,20,20,3,20-20
30,54,41,Sandy,Barley,26,28,0,28-28
28,51,37,Sandy,Oil seeds,13,34,14,14-35-14
38,59,44,Loamy,Tobacco,38,3,0,Urea
26,50,59,Loamy,Ground Nuts,20,36,1,DAP
25,52,58,Sandy,Ground Nuts,40,7,1,Urea
37,58,55,Sandy,Millets,12,28,25,10-26-26
37,54,54,Loamy,Oil seeds,10,30,13,14-35-14
27,51,32,Black,Sugarcane,39,4,10,Urea
30,53,57,Sandy,Tobacco,26,25,10,28-28
27,50,45,Loamy,Wheat,16,36,4,DAP
38,70,65,Black,Tobacco,11,31,13,14-35-14
31,55,26,Red,Paddy,16,41,0,DAP
32,57,48,Loamy,Ground Nuts,11,36,11,14-35-14
35,65,41,Red,Cotton,20,21,9,20-20
30,70,54,Black,Wheat,42,2,4,Urea
33,54,35,Loamy,Millets,13,33,15,14-35-14
26,70,45,Sandy,Tobacco,39,5,1,Urea
36,51,36,Sandy,Paddy,41,9,7,Urea
32,50,47,Black,Oil seeds,14,36,12,14-35-14
26,63,29,Red,Pulses,18,18,4,20-20
29,61,38,Loamy,Oil seeds,29,30,3,28-28
36,54,26,Sandy,Sugarcane,16,35,8,DAP
38,69,30,Sandy,Pulses,35,5,9,Urea
28,59,57,Clayey,Oil seeds,38,2,2,Urea
25,50,60,Red,Maize,29,25,1,28-28
37,64,34,Loamy,Tobacco,19,18,3,20-20
35,50,64,Red,Cotton,19,18,8,20-20
33,68,48,Loamy,Paddy,19,36,4,DAP
33,50,55,Red,Tobacco,37,8,9,Urea
34,62,37,Black,Paddy,18,36,5,DAP
36,55,57,Red,Sugarcane,13,36,15,14-35-14
26,70,38,Sandy,Pulses,19,18,1,20-20
33,54,63,Red,Oil seeds,18,41,8,DAP
26,68,56,Clayey,Paddy,28,28,5,28-28
32,64,29,Clayey,Millets,14,37,10,14-35-14
29,51,28,Red,Millets,39,9,10,Urea
38,56,41,Clayey,Paddy,16,42,9,DAP
32,52,38,Red,Pulses,40,10,4,Urea
25,62,41,Sandy,Paddy,10,23,24,10-26-26
36,72,28,Loamy,Oil seeds,11,33,12,14-35-14
28,67,45,Sandy,Paddy,39,5,1,Urea
28,53,65,Sandy,Wheat,13,36,10,14-35-14
35,53,63,Black,Oil seeds,18,20,9,20-20
35,53,55,Red,Paddy,11,28,26,10-26-26
26,60,51,Sandy,Ground Nuts,29,30,1,28-28
25,60,63,Clayey,Barley,26,28,4,28-28
29,53,58,Red,Pulses,28,27,9,28-28
25,68,50,Sandy,Sugarcane,37,6,6,Urea
25,64,27,Sandy,Millets,14,38,15,14-35-14
30,53,28,Black,Cotton,41,4,3,Urea
37,72,43,Black,Ground Nuts,25,30,4,28-28
33,63,55,Black,Sugarcane,9,22,28,10-26-26
33,66,52,Loamy,Barley,41,3,0,Urea
32,51,32,Red,Tobacco,40,0,7,Urea
37,59,45,Sandy,Oil seeds,13,35,14,14-35-14
31,52,52,Loamy,Paddy,39,3,5,Urea
37,70,39,Red,Oil seeds,28,30,2,28-28
34,70,45,Red,Oil seeds,35,8,1,Urea
36,61,38,Sandy,Oil seeds,28,30,7,28-28
35,51,38,Red,Oil seeds,15,41,10,DAP
35,66,40,Red,Barley,20,39,0,DAP
31,56,30,Clayey,Pulses,22,20,8,20-20
38,65,47,Black,Oil seeds,19,22,0,20-20
29,61,60,Loamy,Oil seeds,12,36,12,14-35-14
27,70,33,Black,Oil seeds,13,34,13,14-35-14
26,57,55,Black,Barley,36,5,3,Urea
28,56,35,Red,Sugarcane,41,2,9,Urea
35,57,32,Black,Wheat,15,31,13,14-35-14
28,64,42,Sandy,Pulses,22,21,5,20-20
27,72,46,Loamy,Paddy,42,0,5,Urea
38,56,61,Clayey,Maize,41,6,8,Urea
30,50,27,Clayey,Oil seeds,11,25,27,10-26-26
27,65,58,Red,Millets,11,33,12,14-35-14
28,68,33,Sandy,Maize,39,8,6,Urea
27,57,51,Black,Sugarcane,29,30,3,28-28
29,65,37,Red,Cotton,10,33,13,14-35-14
29,67,28,Sandy,Pulses,18,20,7,20-20
25,63,25,Black,Oil seeds,16,35,8,DAP
36,56,51,Sandy,Cotton,20,20,5,20-20
36,66,53,Red,Oil seeds,42,4,6,Urea
28,72,55,Black,Oil seeds,19,20,6,20-20
35,67,43,Red,Pulses,10,38,13,14-35-14
27,68,31,Black,Paddy,28,26,3,28-28
36,50,47,Clayey,Millets,12,27,22,10-26-26
36,70,40,Sandy,Sugarcane,12,23,23,10-26-26
26,51,39,Black,Pulses,38,0,2,Urea
34,58,28,Red,Sugarcane,19,20,1,20-20
25,51,38,Clayey,Millets,37,10,10,Urea
25,57,52,Black,Ground Nuts,11,25,22,10-26-26
35,52,52,Red,Paddy,19,35,6,DAP
32,52,61,Sandy,Oil seeds,35,0,9,Urea
25,62,64,Clayey,Sugarcane,39,9,5,Urea
38,68,51,Sandy,Pulses,16,35,7,DAP
34,71,58,Sandy,Pulses,18,35,7,DAP
33,68,50,Sandy,Ground Nuts,10,26,27,10-26-26
28,58,41,Black,Cotton,35,4,1,Urea
28,62,33,Clayey,Paddy,19,20,3,20-20
36,68,59,Loamy,Millets,36,6,9,Urea
33,64,31,Red,Paddy,20,19,8,20-20
36,57,39,Loamy,Paddy,41,10,1,Urea
37,71,49,Black,Sugarcane,38,2,5,Urea
37,66,47,Black,Wheat,21,22,9,20-20
34,57,34,Loamy,Sugarcane,41,6,4,Urea
32,64,44,Red,Paddy,27,29,4,28-28
38,51,58,Sandy,Sugarcane,21,21,4,20-20
25,58,35,Red,Millets,27,30,10,28-28
28,61,34,Clayey,Pulses,19,22,7,20-20
33,62,60,Black,Pulses,25,29,8,28-28
30,51,45,Loamy,Barley,38,10,2,Urea
30,69,41,Loamy,Ground Nuts,11,34,13,14-35-14
30,54,65,Loamy,Tobacco,27,30,5,28-28
34,63,43,Clayey,Paddy,26,29,4,28-28
29,63,51,Black,Maize,37,9,8,Urea
37,68,62,Clayey,Cotton,28,29,5,28-28
37,72,57,Black,Barley,16,41,8,DAP
31,63,45,Black,Wheat,18,38,4,DAP
38,70,29,Sandy,Tobacco,10,34,15,14-35-14
38,66,26,Loamy,Cotton,21,19,0,20-20
28,58,62,Loamy,Millets,29,29,3,28-28
35,70,36,Loamy,Wheat,41,2,9,Urea
26,58,42,Loamy,Cotton,13,35,14,14-35-14
33,64,56,Black,Sugarcane,16,39,3,DAP
33,64,35,Black,Cotton,18,40,7,DAP
28,50,40,Black,Ground Nuts,11,31,13,14-35-14
28,58,55,Clayey,Tobacco,26,27,0,28-28
28,63,49,Sandy,Pulses,14,35,14,14-35-14
25,60,26,Black,Pulses,37,5,10,Urea
28,61,37,Clayey,Paddy,15,42,3,DAP
33,54,25,Red,Ground Nuts,11,28,27,10-26-26
25,61,36,Black,Paddy,20,21,9,20-20
29,68,42,Black,Paddy,35,9,10,Urea
29,54,36,Red,Maize,30,25,7,28-28
34,58,48,Sandy,Wheat,16,35,2,DAP
29,53,36,Loamy,Tobacco,15,40,0,DAP
36,58,36,Loamy,Sugarcane,21,21,6,20-20
32,63,60,Black,Pulses,41,5,0,Urea
36,57,33,Loamy,Sugarcane,21,21,9,20-20
32,72,27,Sandy,Sugarcane,14,30,13,14-35-14
27,61,42,Sandy,Oil seeds,13,33,13,14-35-14
26,57,62,Red,Barley,17,41,4,DAP
31,62,34,Red,Tobacco,11,36,13,14-35-14
27,68,38,Black,Oil seeds,9,28,24,10-26-26
29,59,59,Black,Barley,18,20,3,20-20
37,66,65,Clayey,Barley,22,22,3,20-20
29,53,27,Black,Pulses,8,28,26,10-26-26
34,72,29,Black,Cotton,15,36,12,14-35-14
36,63,27,Sandy,Tobacco,12,26,28,10-26-26
37,54,52,Sandy,Sugarcane,15,38,12,14-35-14
35,52,50,Sandy,Maize,27,27,2,28-28
34,51,30,Black,Millets,25,30,8,28-28
31,69,65,Black,Tobacco,15,42,0,DAP
31,67,33,Clayey,Millets,21,18,5,20-20
33,59,41,Clayey,Sugarcane,20,22,3,20-20
30,71,58,Clayey,Ground Nuts,15,38,10,14-35-14
37,53,61,Black,Ground Nuts,30,27,8,28-28
28,70,50,Red,Tobacco,12,26,27,10-26-26
37,54,27,Red,Barley,27,26,10,28-28
31,56,28,Clayey,Wheat,21,18,1,20-20
28,60,37,Sandy,Millets,18,20,5,20-20
25,55,25,Sandy,Pulses,27,25,9,28-28
30,69,50,Black,Paddy,20,18,6,20-20
36,58,35,Sandy,Tobacco,30,25,0,28-28
37,52,55,Black,Cotton,36,8,7,Urea
35,70,41,Red,Barley,10,35,12,14-35-14
35,68,39,Sandy,Wheat,19,18,6,20-20
35,70,44,Red,Maize,28,30,1,28-28
34,63,25,Clayey,Oil seeds,30,25,0,28-28
34,55,59,Black,Tobacco,9,22,24,10-26-26
30,59,28,Black,Ground Nuts,11,27,27,10-26-26
27,61,49,Red,Oil seeds,21,20,4,20-20
37,50,60,Black,Oil seeds,40,10,10,Urea
29,62,28,Black,Pulses,41,3,4,Urea
34,57,28,Sandy,Pulses,38,4,2,Urea
35,70,44,Clayey,Cotton,11,31,13,14-35-14
34,61,62,Clayey,Ground Nuts,9,27,26,10-26-26
25,69,39,Black,Maize,25,27,4,28-28
33,56,63,Sandy,Maize,30,27,9,28-28
35,53,30,Red,Barley,15,37,10,DAP
34,70,28,Black,Sugarcane,19,19,10,20-20
28,52,55,Clayey,Cotton,18,20,1,20-20
28,72,25,Red,Ground Nuts,28,26,6,28-28
26,61,55,Black,Paddy,19,22,0,20-20
36,61,47,Loamy,Pulses,11,28,28,10-26-26
35,67,41,Loamy,Wheat,14,33,11,14-35-14
34,59,38,Red,Barley,10,28,26,10-26-26
25,59,27,Clayey,Maize,37,8,10,Urea
25,51,40,Black,Paddy,14,37,11,14-35-14
30,61,63,Black,Ground Nuts,42,1,6,Urea
33,62,28,Clayey,Barley,37,3,7,Urea
26,59,42,Red,Barley,25,27,4,28-28
35,67,36,Black,Sugarcane,28,30,0,28-28
25,57,29,Red,Millets,28,25,8,28-28
26,69,33,Loamy,Millets,14,31,10,14-35-14
35,61,25,Loamy,Ground Nuts,27,25,4,28-28
29,64,38,Black,Paddy,20,35,3,DAP
30,61,49,Sandy,Sugarcane,18,38,0,DAP
32,52,46,Clayey,Wheat,12,24,22,10-26-26
26,60,55,Black,Barley,12,27,26,10-26-26
28,59,53,Loamy,Maize,10,31,13,14-35-14
30,71,59,Clayey,Paddy,11,27,23,10-26-26
33,60,34,Loamy,Cotton,8,26,26,10-26-26
38,50,50,Clayey,Barley,12,32,13,14-35-14
34,67,48,Sandy,Maize,37,8,2,Urea
27,55,52,Red,Cotton,20,19,0,20-20
36,69,64,Red,Barley,12,27,25,10-26-26
32,52,30,Sandy,Millets,15,38,15,14-35-14
34,72,49,Black,Millets,21,20,3,20-20
34,70,46,Sandy,Tobacco,10,22,22,10-26-26
32,65,62,Black,Barley,14,34,14,14-35-14
31,51,25,Black,Millets,29,27,8,28-28
38,52,51,Sandy,Barley,14,31,12,14-35-14
26,69,48,Sandy,Ground Nuts,20,36,8,DAP
30,66,26,Sandy,Paddy,42,10,0,Urea
28,69,44,Red,Paddy,14,32,10,14-35-14
33,70,49,Sandy,Maize,22,20,5,20-20
25,71,31,Clayey,Cotton,9,27,28,10-26-26
38,63,49,Red,Wheat,14,34,10,14-35-14
26,59,49,Loamy,Millets,11,37,13,14-35-14
29,72,41,Sandy,Oil seeds,18,21,7,20-20
35,65,64,Clayey,Sugarcane,41,4,6,Urea
25,72,47,Black,Ground Nuts,17,38,6,DAP
31,59,48,Clayey,Sugarcane,9,25,23,10-26-26
25,68,29,Red,Oil seeds,22,20,2,20-20
38,66,25,Sandy,Barley,38,6,9,Urea
29,62,63,Red,Millets,22,20,9,20-20
32,50,26,Black,Ground Nuts,29,25,4,28-28
38,54,53,Clayey,Tobacco,35,9,2,Urea
34,64,46,Red,Tobacco,22,19,0,20-20
37,63,44,Sandy,Cotton,12,37,14,14-35-14
38,65,49,Red,Sugarcane,18,36,4,DAP
26,67,33,Sandy,Barley,18,21,8,20-20
38,64,44,Red,Pulses,15,36,12,14-35-14
29,55,30,Red,Cotton,17,39,8,DAP
28,61,63,Sandy,Oil seeds,10,26,27,10-26-26
27,51,61,Loamy,Maize,28,28,4,28-28
27,63,50,Red,Barley,40,7,3,Urea
25,58,57,Black,Paddy,42,5,2,Urea
37,62,27,Red,Sugarcane,15,30,10,14-35-14
33,58,45,Loamy,Cotton,37,6,2,Urea
33,51,33,Sandy,Barley,41,10,3,Urea
32,54,25,Red,Pulses,37,8,6,Urea
37,67,28,Loamy,Cotton,42,2,4,Urea
28,51,51,Loamy,Millets,19,18,6,20-20
29,54,50,Black,Millets,10,28,28,10-26-26
33,52,55,Black,Oil seeds,12,23,25,10-26-26
26,54,37,Loamy,Cotton,21,19,1,20-20
26,72,32,Black,Pulses,29,30,10,28-28
26,50,50,Red,Cotton,14,30,14,14-35-14
31,56,41,Clayey,Millets,26,27,8,28-28
36,52,57,Sandy,Wheat,19,22,4,20-20
26,68,64,Sandy,Wheat,15,37,4,DAP
37,62,25,Red,Pulses,25,26,1,28-28
34,68,44,Black,Millets,17,42,7,DAP
28,65,31,Sandy,Paddy,20,42,4,DAP
29,71,48,Sandy,Sugarcane,26,28,9,28-28
33,56,57,Red,Tobacco,18,18,1,20-20
26,50,28,Sandy,Millets,11,26,26,10-26-26
36,58,42,Sandy,Millets,11,25,26,10-26-26
36,63,53,Clayey,Tobacco,36,1,7,Urea
26,56,53,Black,Maize,18,19,7,20-20
31,69,52,Red,Barley,25,27,5,28-28
31,52,28,Sandy,Tobacco,12,25,24,10-26-26
27,63,54,Loamy,Maize,20,21,10,20-20
30,68,33,Sandy,Barley,12,22,26,10-26-26
30,57,37,Red,Wheat,12,27,25,10-26-26
28,60,40,Sandy,Oil seeds,20,21,1,20-20
35,54,53,Loamy,Maize,10,34,15,14-35-14
32,59,28,Black,Cotton,26,30,1,28-28
27,52,40,Loamy,Sugarcane,42,6,3,Urea
37,66,33,Red,Oil seeds,19,21,6,20-20
33,62,38,Loamy,Paddy,26,27,10,28-28
34,60,25,Clayey,Tobacco,18,21,7,20-20
35,62,57,Black,Wheat,18,18,6,20-20
32,64,64,Loamy,Barley,28,27,3,28-28
31,64,45,Red,Ground Nuts,25,30,1,28-28
34,60,30,Black,Sugarcane,12,25,22,10-26-26
34,65,59,Sandy,Millets,21,18,6,20-20
38,67,58,Sandy,Tobacco,38,10,5,Urea
33,56,49,Sandy,Paddy,26,25,4,28-28
38,64,37,Clayey,Ground Nuts,14,36,15,14-35-14
31,63,59,Sandy,Barley,36,10,7,Urea
31,72,61,Loamy,Wheat,20,37,6,DAP
31,60,39,Loamy,Oil seeds,20,36,3,DAP
34,52,38,Clayey,Paddy,8,22,23,10-26-26
32,68,34,Sandy,Sugarcane,28,27,0,28-28
36,58,34,Sandy,Cotton,19,40,2,DAP
27,56,53,Loamy,Millets,14,36,14,14-35-14
25,56,50,Loamy,Maize,22,19,4,20-20
37,64,60,Loamy,Millets,19,22,2,20-20
27,55,56,Red,Pulses,27,25,2,28-28
31,53,31,Black,Oil seeds,15,32,13,14-35-14
26,53,46,Sandy,Sugarcane,29,27,6,28-28
33,67,33,Red,Ground Nuts,10,22,23,10-26-26
26,50,57,Black,Paddy,12,33,10,14-35-14
27,67,54,Loamy,Maize,10,27,25,10-26-26
27,55,41,Sandy,Tobacco,21,19,5,20-20
32,55,60,Loamy,Barley,10,26,25,10-26-26
38,55,54,Sandy,Paddy,22,19,4,20-20
35,64,44,Loamy,Sugarcane,12,32,11,14-35-14
25,68,53,Sandy,Cotton,12,25,25,10-26-26
27,53,36,Black,Sugarcane,16,39,1,DAP
33,64,30,Red,Millets,19,20,0,20-20
33,67,28,Loamy,Tobacco,21,20,2,20-20
34,56,29,Sandy,Cotton,37,2,3,Urea
37,65,27,Sandy,Paddy,40,10,5,Urea
37,50,54,Loamy,Cotton,12,38,15,14-35-14
36,71,49,Black,Ground Nuts,40,3,2,Urea
27,54,25,Red,Sugarcane,30,28,8,28-28
38,69,61,Red,Millets,10,35,10,14-35-14
38,70,65,Clayey,Sugarcane,28,28,9,28-28
27,52,28,Clayey,Tobacco,20,41,1,DAP
25,65,27,Red,Paddy,11,22,22,10-26-26
29,71,25,Clayey,Pulses,39,5,0,Urea
26,52,57,Sandy,Paddy,20,39,7,DAP
36,55,25,Red,Barley,41,1,7,Urea
36,65,63,Sandy,Barley,8,27,26,10-26-26
30,54,39,Black,Millets,13,31,13,14-35-14
32,53,45,Sandy,Millets,17,37,6,DAP
27,51,52,Red,Oil seeds,35,3,4,Urea
34,55,54,Sandy,Ground Nuts,20,20,6,20-20
38,52,33,Loamy,Barley,20,19,6,20-20
28,59,28,Red,Oil seeds,42,1,7,Urea
34,66,32,Clayey,Cotton,22,22,1,20-20
37,63,33,Black,Maize,26,28,9,28-28
32,67,35,Sandy,Oil seeds,10,32,13,14-35-14
33,71,63,Sandy,Ground Nuts,20,20,7,20-20
33,57,26,Clayey,Ground Nuts,15,33,15,14-35-14
29,65,50,Sandy,Sugarcane,15,34,13,14-35-14
25,62,30,Red,Wheat,15,36,10,14-35-14
35,52,46,Sandy,Paddy,8,25,27,10-26-26
33,61,49,Loamy,Sugarcane,12,27,27,10-26-26
27,51,28,Sandy,Millets,25,25,7,28-28
33,58,40,Black,Oil seeds,38,4,0,Urea
33,66,50,Red,Wheat,12,25,25,10-26-26
37,57,31,Red,Wheat,25,26,10,28-28
36,54,26,Clayey,Cotton,27,28,0,28-28
38,59,32,Loamy,Barley,21,19,3,20-20
26,53,43,Black,Barley,30,30,6,28-28
38,52,57,Black,Sugarcane,12,27,22,10-26-26
37,57,27,Clayey,Cotton,21,22,2,20-20
38,70,34,Sandy,Barley,41,3,8,Urea
34,52,60,Sandy,Maize,25,30,2,28-28
32,68,48,Loamy,Sugarcane,38,0,4,Urea
38,65,55,Black,Tobacco,10,23,23,10-26-26
31,68,28,Red,Wheat,15,35,14,14-35-14
28,57,33,Clayey,Millets,41,3,5,Urea
33,62,47,Clayey,Wheat,15,36,13,14-35-14
31,70,37,Red,Maize,10,35,14,14-35-14
27,72,64,Clayey,Maize,39,10,0,Urea
31,57,43,Loamy,Sugarcane,17,39,10,DAP
27,53,52,Clayey,Wheat,29,29,3,28-28
30,69,28,Sandy,Millets,11,24,22,10-26-26
38,71,50,Clayey,Barley,11,27,24,10-26-26
26,64,60,Black,Maize,12,37,12,14-35-14
26,68,46,Black,Maize,18,35,3,DAP
